FID,year,X_97,Y_97,source
1425,2021,325459.0284,2737422.628,淹水感測
1430,2021,321858.4352,2729490.351,淹水感測
1440,2021,326684.7502,2735287.117,淹水感測
1441,2021,329591.1866,2745357.994,淹水感測
2010,2022,325747.1531,2729401.355,新聞媒體
2011,2022,322314.5579,2725495.713,新聞媒體
2012,2022,327365.1364,2726728.941,輿情資料
2013,2022,328806.8393,2728326.539,新聞媒體
2014,2022,328266.4186,2729071.647,新聞媒體
2016,2022,321362.7032,2729666.103,新聞媒體
2017,2022,329089.3143,2731711.643,淹水感測
2093,2022,326322.5156,2735458.136,新聞媒體
2094,2022,316469.4947,2728385.232,EMIC
2095,2022,325845.6331,2735043.021,新聞媒體
2198,2022,303910.8028,2721965.993,輿情資料
2200,2022,303683.6448,2721568.583,輿情資料
2201,2022,324609.0038,2734366.188,輿情資料
2215,2022,333330.0543,2750749.485,EMIC
2224,2022,300186.292,2718698.502,輿情資料
4792,2024,331994.9511,2726378.033,新聞媒體
4869,2024,332941.5485,2729084.991,EMIC
5657,2024,324270.7384,2745092.613,EMIC
5783,2024,327944.1808,2730425.72,EMIC
5963,2024,330302.1091,2740943.741,EMIC
6233,2024,294515.3388,2711896.386,EMIC
6317,2024,332848.3382,2729065.605,淹水感測
6427,2024,330092.7037,2726919.946,EMIC
6439,2024,326392.1793,2735356.06,EMIC
6440,2024,326392.1793,2735356.06,EMIC
6442,2024,331546.2975,2731556.877,EMIC
6445,2024,331179.4356,2728424.566,淹水感測
6449,2024,330377.4286,2727303.835,淹水感測
6464,2024,330442.3518,2736081.184,淹水感測
6465,2024,332646.0416,2728004.438,淹水感測
6466,2024,289967.861,2706027.277,EMIC
6476,2024,323294.3852,2735293.473,EMIC
6477,2024,325920.6709,2734993.919,EMIC
6481,2024,325838.8325,2733567.234,EMIC
6482,2024,325828.2663,2733538.044,EMIC
6483,2024,330931.8955,2728200.912,淹水感測
6484,2024,331148.1427,2732907.197,淹水感測
6485,2024,331332.7687,2732769.142,淹水感測
6486,2024,326392.1793,2735356.06,EMIC
6488,2024,331840.7295,2729074.698,淹水感測
6490,2024,331141.8614,2706694.05,EMIC
6492,2024,328866.7764,2731443.981,EMIC
6493,2024,336032.7296,2721670.328,淹水感測
6495,2024,326485.9506,2735377.402,淹水感測
6496,2024,328251.1195,2734052.616,EMIC
6499,2024,329089.3143,2731711.643,淹水感測
6501,2024,330943.4838,2741837.834,淹水感測
6504,2024,328798.2921,2728334.355,淹水感測
6506,2024,330141.2342,2737253.873,EMIC
6507,2024,328645.4625,2732066.124,EMIC
6508,2024,329338.4005,2736081.575,淹水感測
6526,2024,327055.6608,2739870.122,淹水感測
6725,2024,328446.3442,2729701.827,EMIC
6726,2024,328395.5267,2730626.538,新聞媒體
6734,2024,330693.8457,2727908.719,淹水感測
6739,2024,330451.5212,2729468.782,淹水感測
6740,2024,327718.2078,2734842.83,EMIC
6741,2024,331006.6234,2729429.916,淹水感測
6743,2024,332911.1144,2728482.209,淹水感測
6744,2024,330931.8955,2728200.912,淹水感測
6745,2024,327157.8982,2730473.695,EMIC
6746,2024,328359.1539,2728144.42,EMIC
6747,2024,327633.2781,2730491.962,EMIC
6750,2024,328615.3152,2730026.948,EMIC
6752,2024,327213.7107,2729795.46,EMIC
6753,2024,326962.392,2726355.29,EMIC
6755,2024,327937.5612,2730618.74,EMIC
6756,2024,327525.8511,2730746.35,EMIC
6757,2024,328332.0265,2730312.899,EMIC
6758,2024,329866.9793,2729717.073,EMIC
6760,2024,328571.3564,2729460.065,EMIC
6761,2024,333646.4077,2727765.55,EMIC
6762,2024,326694.9595,2730656.4,EMIC
6763,2024,327722.3436,2730697.89,EMIC
6765,2024,326809.7819,2730070.49,EMIC
6766,2024,328121.0125,2730320.0,EMIC
6767,2024,331410.1165,2728023.939,淹水感測
6772,2024,327633.2374,2730492.01,EMIC
6773,2024,328951.9145,2729547.06,EMIC
7138,2024,327991.6274,2729852.696,EMIC
7141,2024,327961.7384,2729964.57,EMIC
7186,2024,332848.3382,2729065.605,淹水感測
7192,2024,331840.7295,2729074.698,淹水感測
7193,2024,332941.5485,2729084.991,EMIC
7194,2024,338101.5325,2719645.664,EMIC
7196,2024,332646.0416,2728004.438,淹水感測
7229,2024,329089.3143,2731711.643,淹水感測
7230,2024,332721.3329,2729343.232,EMIC
7231,2024,333661.636,2727802.025,EMIC
7232,2024,335887.8871,2721162.039,淹水感測
7233,2024,328798.292,2728334.355,淹水感測
7234,2024,333632.1291,2727815.184,EMIC
7263,2024,326485.9506,2735377.402,淹水感測
7266,2024,326354.4635,2735260.26,EMIC
7271,2024,326410.0168,2735423.837,EMIC
7304,2024,328798.292,2728334.355,淹水感測
7309,2024,332548.5183,2744545.918,EMIC
7313,2024,333899.2306,2749994.909,EMIC
7314,2024,338750.2322,2756514.291,EMIC
7316,2024,332252.5328,2727802.855,EMIC
7318,2024,329315.8413,2736056.589,EMIC
7319,2024,330806.9187,2729899.959,EMIC
7320,2024,327776.8543,2734849.357,EMIC
7321,2024,326122.0239,2735194.293,EMIC
7322,2024,332646.0416,2728004.438,淹水感測
7323,2024,325725.17,2733146.474,EMIC
7326,2024,330931.8955,2728200.912,淹水感測
7327,2024,316884.0466,2737362.2,EMIC
7328,2024,331332.7688,2732769.142,淹水感測
7329,2024,331546.2975,2731556.877,EMIC
7333,2024,331148.1426,2732907.197,淹水感測
7334,2024,331546.2975,2731556.877,EMIC
7338,2024,317231.7431,2729137.08,EMIC
7339,2024,332848.3382,2729065.605,淹水感測
7340,2024,334248.0786,2731990.687,EMIC
7341,2024,330442.3518,2736081.184,淹水感測
7343,2024,329089.3143,2731711.643,淹水感測
7344,2024,331094.7985,2732979.106,EMIC
7347,2024,330377.4285,2727303.835,淹水感測
7348,2024,328271.7055,2736923.004,淹水感測
7349,2024,326638.0977,2737958.574,淹水感測
7351,2024,327029.5764,2738465.737,EMIC
7352,2024,332911.1144,2728482.209,淹水感測
7353,2024,331410.1165,2728023.939,淹水感測
7355,2024,332210.689,2735171.861,淹水感測
7357,2024,330952.6912,2735665.606,淹水感測
7358,2024,330698.675,2727955.69,EMIC
7359,2024,329270.009,2727694.256,EMIC
7361,2024,332138.5992,2739190.303,EMIC
7430,2025,331840.7295,2729074.698,淹水感測
7431,2025,332911.1144,2728482.209,淹水感測
7432,2025,334927.871,2752556.718,輿情資料
7470,2025,339587.3072,2759091.468,EMIC

