grid_id,綠地類型,中心經度,中心緯度,分析面積_km2,2020面積_ha,2024面積_ha,面積減少率_pct,2020斑塊數,2024斑塊數,斑塊數增加率_pct,2020平均斑塊面積_ha,2024平均斑塊面積_ha,平均斑塊面積下降率_pct,道路切割密度_km_per_km2,建成區邊界切割密度_km_per_km2,孤立小斑塊比例_pct,距大型連續綠地平均距離_m,annual_area_ha,score_面積減少,score_斑塊增加,score_平均斑塊縮小,score_道路建成區切割,score_孤立比例,score_距大型綠地,綜合破碎化分數,破碎化等級,判定原因
G000_029,森林,121.605289,24.311984,0.165,16.47,16.47,0.0,1,1,0.0,172555.65,172145.43,0.24,0.0,0.0,0.0,0.0,"{""2020"": 16.47, ""2021"": 16.47, ""2022"": 16.47, ""2023"": 16.47, ""2024"": 16.47}",36.827195467422094,46.81303116147309,50.63739376770538,27.47875354107649,45.34938621340888,44.66477809254013,42.0,低,面積減少0.0%；斑塊增加0.0%；平均斑塊縮小0.2%；道路密度0.00 km/km²；孤立比例0.0%；距大型綠地0m
G001_025,森林,121.568041,24.321077,0.44,44.01,44.01,0.0,1,1,0.0,172555.65,172145.43,0.24,0.0,0.0,0.0,0.0,"{""2020"": 44.01, ""2021"": 44.01, ""2022"": 44.01, ""2023"": 44.01, ""2024"": 44.01}",36.827195467422094,46.81303116147309,50.63739376770538,27.47875354107649,45.34938621340888,44.66477809254013,42.0,低,面積減少0.0%；斑塊增加0.0%；平均斑塊縮小0.2%；道路密度0.00 km/km²；孤立比例0.0%；距大型綠地0m
G001_026,森林,121.576422,24.321725,0.562,56.25,56.25,0.0,1,1,0.0,172555.65,172145.43,0.24,0.0,0.0,0.0,0.0,"{""2020"": 56.25, ""2021"": 56.25, ""2022"": 56.25, ""2023"": 56.25, ""2024"": 56.25}",36.827195467422094,46.81303116147309,50.63739376770538,27.47875354107649,45.34938621340888,44.66477809254013,42.0,低,面積減少0.0%；斑塊增加0.0%；平均斑塊縮小0.2%；道路密度0.00 km/km²；孤立比例0.0%；距大型綠地0m
G001_027,森林,121.58627,24.320777,0.853,85.32,85.32,0.0,1,1,0.0,172555.65,172145.43,0.24,0.0,0.0,0.0,0.0,"{""2020"": 85.32, ""2021"": 85.32, ""2022"": 85.32, ""2023"": 85.32, ""2024"": 85.32}",36.827195467422094,46.81303116147309,50.63739376770538,27.47875354107649,45.34938621340888,44.66477809254013,42.0,低,面積減少0.0%；斑塊增加0.0%；平均斑塊縮小0.2%；道路密度0.00 km/km²；孤立比例0.0%；距大型綠地0m
G001_028,森林,121.596113,24.318566,0.884,88.11,87.3,0.92,1,1,0.0,172555.65,172145.43,0.24,0.0,0.0,0.0,0.0,"{""2020"": 88.11, ""2021"": 88.2, ""2022"": 88.38, ""2023"": 88.38, ""2024"": 87.3}",85.00944287063267,46.81303116147309,50.63739376770538,27.47875354107649,45.34938621340888,44.66477809254013,50.0,高,面積減少0.9%；斑塊增加0.0%；平均斑塊縮小0.2%；道路密度0.00 km/km²；孤立比例0.0%；距大型綠地0m
G001_029,森林,121.602983,24.317783,0.245,22.86,21.6,5.51,1,1,0.0,172555.65,172145.43,0.24,0.0,0.0,0.0,0.0,"{""2020"": 22.86, ""2021"": 21.96, ""2022"": 21.6, ""2023"": 22.14, ""2024"": 21.6}",94.80642115203023,46.81303116147309,50.63739376770538,27.47875354107649,45.34938621340888,44.66477809254013,51.6,高,面積減少5.5%；斑塊增加0.0%；平均斑塊縮小0.2%；道路密度0.00 km/km²；孤立比例0.0%；距大型綠地0m
G001_043,森林,121.74782,24.321675,0.066,0.09,0.36,0.0,1,1,0.0,172555.65,172145.43,0.24,0.0,0.0,0.0,0.0,"{""2020"": 0.09, ""2021"": 0.27, ""2022"": 0.36, ""2023"": 0.45, ""2024"": 0.36}",36.827195467422094,46.81303116147309,50.63739376770538,27.47875354107649,45.34938621340888,44.66477809254013,42.0,低,面積減少0.0%；斑塊增加0.0%；平均斑塊縮小0.2%；道路密度0.00 km/km²；孤立比例0.0%；距大型綠地0m
G001_044,森林,121.755132,24.318682,0.621,21.42,21.33,0.42,1,1,0.0,172555.65,172145.43,0.24,2.174,0.0,0.0,0.0,"{""2020"": 21.42, ""2021"": 22.23, ""2022"": 22.23, ""2023"": 21.24, ""2024"": 21.33}",80.26440037771482,46.81303116147309,50.63739376770538,50.69641170915959,45.34938621340888,44.66477809254013,53.1,高,面積減少0.4%；斑塊增加0.0%；平均斑塊縮小0.2%；道路密度2.17 km/km²；孤立比例0.0%；距大型綠地0m
G001_045,森林,121.763611,24.318695,1.025,16.47,18.09,0.0,4,3,0.0,43140.105,57384.15,0.0,5.912,0.146,6.97,128.4,"{""2020"": 16.47, ""2021"": 17.28, ""2022"": 17.01, ""2023"": 17.82, ""2024"": 18.09}",36.827195467422094,46.81303116147309,3.7535410764872523,83.14447592067988,97.63928234183192,96.78942398489141,60.8,高,面積減少0.0%；斑塊增加0.0%；平均斑塊縮小0.0%；道路密度5.91 km/km²；孤立比例7.0%；距大型綠地128m
G001_046,森林,121.770904,24.318172,0.5,1.98,2.97,0.0,1,1,0.0,3.96,5.76,0.0,0.839,0.0,0.0,443.8,"{""2020"": 1.98, ""2021"": 2.88, ""2022"": 2.43, ""2023"": 4.05, ""2024"": 2.97}",36.827195467422094,46.81303116147309,3.7535410764872523,41.288951841359776,45.34938621340888,97.59206798866855,45.3,中,面積減少0.0%；斑塊增加0.0%；平均斑塊縮小0.0%；道路密度0.84 km/km²；孤立比例0.0%；距大型綠地444m
G002_024,森林,121.559413,24.328467,0.527,52.74,52.74,0.0,1,1,0.0,172555.65,172145.43,0.24,0.0,0.0,0.0,0.0,"{""2020"": 52.74, ""2021"": 52.74, ""2022"": 52.74, ""2023"": 52.74, ""2024"": 52.74}",36.827195467422094,46.81303116147309,50.63739376770538,27.47875354107649,45.34938621340888,44.66477809254013,42.0,低,面積減少0.0%；斑塊增加0.0%；平均斑塊縮小0.2%；道路密度0.00 km/km²；孤立比例0.0%；距大型綠地0m
G002_025,森林,121.566598,24.328306,1.04,104.04,104.04,0.0,1,1,0.0,172555.65,172145.43,0.24,0.0,0.0,0.0,0.0,"{""2020"": 104.04, ""2021"": 104.04, ""2022"": 104.04, ""2023"": 104.04, ""2024"": 104.04}",36.827195467422094,46.81303116147309,50.63739376770538,27.47875354107649,45.34938621340888,44.66477809254013,42.0,低,面積減少0.0%；斑塊增加0.0%；平均斑塊縮小0.2%；道路密度0.00 km/km²；孤立比例0.0%；距大型綠地0m
G002_026,森林,121.576451,24.328269,1.04,104.04,103.95,0.09,1,1,0.0,172555.65,172145.43,0.24,0.0,0.0,0.0,0.0,"{""2020"": 104.04, ""2021"": 104.04, ""2022"": 104.04, ""2023"": 104.04, ""2024"": 103.95}",74.48064211520303,46.81303116147309,50.63739376770538,27.47875354107649,45.34938621340888,44.66477809254013,48.2,中,面積減少0.1%；斑塊增加0.0%；平均斑塊縮小0.2%；道路密度0.00 km/km²；孤立比例0.0%；距大型綠地0m
G002_027,森林,121.586305,24.328231,1.04,101.7,103.23,0.0,1,1,0.0,172555.65,172145.43,0.24,0.0,0.0,0.0,0.0,"{""2020"": 101.7, ""2021"": 102.69, ""2022"": 102.96, ""2023"": 103.32, ""2024"": 103.23}",36.827195467422094,46.81303116147309,50.63739376770538,27.47875354107649,45.34938621340888,44.66477809254013,42.0,低,面積減少0.0%；斑塊增加0.0%；平均斑塊縮小0.2%；道路密度0.00 km/km²；孤立比例0.0%；距大型綠地0m
G002_028,森林,121.593863,24.328245,0.668,65.25,65.52,0.0,1,1,0.0,172555.65,172145.43,0.24,0.0,0.0,0.0,0.0,"{""2020"": 65.25, ""2021"": 65.7, ""2022"": 65.7, ""2023"": 65.97, ""2024"": 65.52}",36.827195467422094,46.81303116147309,50.63739376770538,27.47875354107649,45.34938621340888,44.66477809254013,42.0,低,面積減少0.0%；斑塊增加0.0%；平均斑塊縮小0.2%；道路密度0.00 km/km²；孤立比例0.0%；距大型綠地0m
G002_029,森林,121.603715,24.330808,0.2,18.63,18.27,1.93,1,1,0.0,172555.65,172145.43,0.24,0.0,0.0,0.0,0.0,"{""2020"": 18.63, ""2021"": 18.63, ""2022"": 17.91, ""2023"": 17.46, ""2024"": 18.27}",89.70727101038716,46.81303116147309,50.63739376770538,27.47875354107649,45.34938621340888,44.66477809254013,50.8,高,面積減少1.9%；斑塊增加0.0%；平均斑塊縮小0.2%；道路密度0.00 km/km²；孤立比例0.0%；距大型綠地0m
G002_039,森林,121.707074,24.329939,0.26,14.22,14.13,0.63,1,1,0.0,172555.65,172145.43,0.24,3.576,0.0,0.0,0.0,"{""2020"": 14.22, ""2021"": 14.22, ""2022"": 14.13, ""2023"": 13.41, ""2024"": 14.13}",82.69593956562795,46.81303116147309,50.63739376770538,56.68083097261568,45.34938621340888,44.66477809254013,54.5,高,面積減少0.6%；斑塊增加0.0%；平均斑塊縮小0.2%；道路密度3.58 km/km²；孤立比例0.0%；距大型綠地0m
G002_040,森林,121.714412,24.330204,0.616,39.87,40.77,0.0,1,1,0.0,172555.65,172145.43,0.24,3.899,0.585,0.0,0.0,"{""2020"": 39.87, ""2021"": 41.13, ""2022"": 40.59, ""2023"": 40.59, ""2024"": 40.77}",36.827195467422094,46.81303116147309,50.63739376770538,81.75165250236071,45.34938621340888,44.66477809254013,51.0,高,面積減少0.0%；斑塊增加0.0%；平均斑塊縮小0.2%；道路密度3.90 km/km²；孤立比例0.0%；距大型綠地0m
G002_041,森林,121.724259,24.329115,0.74,45.45,47.79,0.0,1,1,0.0,172555.65,172145.43,0.24,4.826,0.122,0.0,0.0,"{""2020"": 45.45, ""2021"": 47.79, ""2022"": 45.36, ""2023"": 45.72, ""2024"": 47.79}",36.827195467422094,46.81303116147309,50.63739376770538,80.61850802644004,45.34938621340888,44.66477809254013,50.8,高,面積減少0.0%；斑塊增加0.0%；平均斑塊縮小0.2%；道路密度4.83 km/km²；孤立比例0.0%；距大型綠地0m
