rank,town,admin_code,housing_units_2019,avg_age_2019,over30_share_pct_2019,estimated_over30_units_2019,screening_score_v02,screening_band,township_data_period,county_current_reference,note
1,蘇澳鎮,1000203,15729,38,71.28,11212,85.8,A 極高優先,2019 year-end,"Yilan County 2025 Q2: avg age 35.0 years; 30+ years 123,027 units; share 60.5%",Screening proxy only; not measured carbon emissions or official BERS/BERSe score.
2,頭城鎮,1000204,12722,33,63.17,8036,62.2,B 高優先,2019 year-end,"Yilan County 2025 Q2: avg age 35.0 years; 30+ years 123,027 units; share 60.5%",Screening proxy only; not measured carbon emissions or official BERS/BERSe score.
3,冬山鄉,1000208,21406,32,55.69,11921,53.9,C 中度,2019 year-end,"Yilan County 2025 Q2: avg age 35.0 years; 30+ years 123,027 units; share 60.5%",Screening proxy only; not measured carbon emissions or official BERS/BERSe score.
4,南澳鄉,1000212,1075,32,62.14,668,45.5,C 中度,2019 year-end,"Yilan County 2025 Q2: avg age 35.0 years; 30+ years 123,027 units; share 60.5%",Screening proxy only; not measured carbon emissions or official BERS/BERSe score.
5,宜蘭市,1000201,40414,29,45.54,18405,44.9,C 中度,2019 year-end,"Yilan County 2025 Q2: avg age 35.0 years; 30+ years 123,027 units; share 60.5%",Screening proxy only; not measured carbon emissions or official BERS/BERSe score.
6,羅東鎮,1000202,27409,33,49.71,13625,44.4,C 中度,2019 year-end,"Yilan County 2025 Q2: avg age 35.0 years; 30+ years 123,027 units; share 60.5%",Screening proxy only; not measured carbon emissions or official BERS/BERSe score.
7,大同鄉,1000211,1165,31,56.31,656,33,D 較低,2019 year-end,"Yilan County 2025 Q2: avg age 35.0 years; 30+ years 123,027 units; share 60.5%",Screening proxy only; not measured carbon emissions or official BERS/BERSe score.
8,員山鄉,1000207,11921,30,50.65,6038,31.5,D 較低,2019 year-end,"Yilan County 2025 Q2: avg age 35.0 years; 30+ years 123,027 units; share 60.5%",Screening proxy only; not measured carbon emissions or official BERS/BERSe score.
9,壯圍鄉,1000206,8793,32,51.79,4554,31,D 較低,2019 year-end,"Yilan County 2025 Q2: avg age 35.0 years; 30+ years 123,027 units; share 60.5%",Screening proxy only; not measured carbon emissions or official BERS/BERSe score.
10,五結鄉,1000209,17737,30,47.04,8343,28.3,D 較低,2019 year-end,"Yilan County 2025 Q2: avg age 35.0 years; 30+ years 123,027 units; share 60.5%",Screening proxy only; not measured carbon emissions or official BERS/BERSe score.
11,三星鄉,1000210,8921,32,47.93,4276,22.2,D 較低,2019 year-end,"Yilan County 2025 Q2: avg age 35.0 years; 30+ years 123,027 units; share 60.5%",Screening proxy only; not measured carbon emissions or official BERS/BERSe score.
12,礁溪鄉,1000205,23076,27,40.9,9438,17.3,D 較低,2019 year-end,"Yilan County 2025 Q2: avg age 35.0 years; 30+ years 123,027 units; share 60.5%",Screening proxy only; not measured carbon emissions or official BERS/BERSe score.
