facility_id,facility_name,facility_type,facility_source,longitude,latitude,source_month,location_note,easting_epsg3826,northing_epsg3826,image_pixel_x,image_pixel_y,image_coverage,liquefaction_2026_map_class,pixel_class_status,nearest_medium_high_m,nearest_medium_high_class,within_300m_medium_or_high,liquefaction_screening_note,sampled_rgb_class_pixels_5x5
1,佛光大學,學校,,121.72609621369925,24.815878085116,202407,官方校地範圍代表點，非校門或單一校舍點位,323402.28,2745579.35,3287,2579,圖面範圍內,圖上無可判讀潛勢色塊,無法判讀,,,False,新版圖面此處無可判讀色塊；不能判為低潛勢,"{""低潛勢（PL<5）"": 0, ""中潛勢（5≤PL≤15）"": 0, ""高潛勢（PL≥15）"": 0}"
10,宜蘭縣大同鄉大同國民小學松羅分校,學校,,121.57853271249375,24.655981507000316,202206,官方校地範圍代表點，非校門或單一校舍點位,308559.29,2727797.67,839,5512,圖面範圍內,圖上無可判讀潛勢色塊,無法判讀,,,False,新版圖面此處無可判讀色塊；不能判為低潛勢,"{""低潛勢（PL<5）"": 0, ""中潛勢（5≤PL≤15）"": 0, ""高潛勢（PL≥15）"": 0}"
100,宜蘭縣礁溪鄉玉田國民小學,學校,,121.790504757799,24.795969093372893,202408,官方校地範圍代表點，非校門或單一校舍點位,329926.47,2743410.29,4363,2937,圖面範圍內,高潛勢（PL≥15）,清楚,12.1,高潛勢（PL≥15）,True,直接落在中／高潛勢圖色,"{""低潛勢（PL<5）"": 0, ""中潛勢（5≤PL≤15）"": 0, ""高潛勢（PL≥15）"": 4}"
101,宜蘭縣礁溪鄉龍潭國民小學,學校,,121.74470681599331,24.779890757114746,202406,官方校地範圍代表點，非校門或單一校舍點位,325305.45,2741603.35,3601,3235,圖面範圍內,中潛勢（5≤PL≤15）,清楚,0.0,中潛勢（5≤PL≤15）,True,直接落在中／高潛勢圖色,"{""低潛勢（PL<5）"": 0, ""中潛勢（5≤PL≤15）"": 19, ""高潛勢（PL≥15）"": 0}"
102,宜蘭縣礁溪鄉龍潭國民小學匏崙分校,學校,,121.72927398871292,24.792404557730876,201901,官方校地範圍代表點，非校門或單一校舍點位,323737.42,2742981.03,3342,3008,圖面範圍內,低潛勢（PL<5）,清楚,,,False,點位為低潛勢；300公尺內未見中／高潛勢圖色,"{""低潛勢（PL<5）"": 25, ""中潛勢（5≤PL≤15）"": 0, ""高潛勢（PL≥15）"": 0}"
103,宜蘭縣礁溪鄉礁溪國民小學,學校,,121.76837140674677,24.82180558992952,202406,官方校地範圍代表點，非校門或單一校舍點位,327672.41,2746259.31,3991,2467,圖面範圍內,低潛勢（PL<5）,清楚,236.5,中潛勢（5≤PL≤15）,True,距中／高潛勢圖色 236.5 公尺（≤300公尺）,"{""低潛勢（PL<5）"": 25, ""中潛勢（5≤PL≤15）"": 0, ""高潛勢（PL≥15）"": 0}"
104,宜蘭縣羅東鎮公正國民小學,學校,,121.76637184458144,24.678582089517544,202206,官方校地範圍代表點，非校門或單一校舍點位,327559.12,2730394.08,3973,5084,圖面範圍內,高潛勢（PL≥15）,清楚,12.1,高潛勢（PL≥15）,True,直接落在中／高潛勢圖色,"{""低潛勢（PL<5）"": 0, ""中潛勢（5≤PL≤15）"": 0, ""高潛勢（PL≥15）"": 4}"
105,宜蘭縣羅東鎮北成國民小學,學校,,121.75820158969985,24.674656153773263,202406,官方校地範圍代表點，非校門或單一校舍點位,326734.63,2729954.64,3837,5157,圖面範圍內,中潛勢（5≤PL≤15）,清楚,0.0,中潛勢（5≤PL≤15）,True,直接落在中／高潛勢圖色,"{""低潛勢（PL<5）"": 0, ""中潛勢（5≤PL≤15）"": 25, ""高潛勢（PL≥15）"": 0}"
106,宜蘭縣羅東鎮成功國民小學,學校,,121.76904557782437,24.67141433408012,202406,官方校地範圍代表點，非校門或單一校舍點位,327834.17,2729601.67,4018,5215,圖面範圍內,高潛勢（PL≥15）,清楚,0.0,高潛勢（PL≥15）,True,直接落在中／高潛勢圖色,"{""低潛勢（PL<5）"": 0, ""中潛勢（5≤PL≤15）"": 0, ""高潛勢（PL≥15）"": 25}"
107,宜蘭縣羅東鎮竹林國民小學,學校,,121.76675129106465,24.688719009148762,202206,官方校地範圍代表點，非校門或單一校舍點位,327591.24,2731517.1,3978,4899,圖面範圍內,高潛勢（PL≥15）,清楚,0.0,高潛勢（PL≥15）,True,直接落在中／高潛勢圖色,"{""低潛勢（PL<5）"": 0, ""中潛勢（5≤PL≤15）"": 0, ""高潛勢（PL≥15）"": 22}"
