facility_id,facility_name,facility_type,facility_source,source_record_id,source_date,admin_area,medical_marktype,address,agency,hotspot_name,osm_amenity,osm_office,matched_hazard_groups,matched_hazard_details,hazard_group_count,flood_point_count_300m,screening_priority,analysis_predicate,analysis_role,longitude,latitude
NLSC-MED-G0000000014,宜蘭縣大同鄉南山村衛生室,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000000014,2026-09-25,宜蘭縣,9930102,宜蘭縣大同鄉埤南巷4-5號,,,,,土石流影響範圍、地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 131.8, ""intersects"": false}, {""group"": ""土石流影響範圍"", ""source_id"": ""176526"", ""distance_m"": 119.0, ""intersects"": false}]",2,0,複合災害暴露（優先查核）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.379725,24.437094999999996
NLSC-MED-G0000000095,宜蘭縣大同鄉茂安村衛生室,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000000095,2026-09-25,宜蘭縣,9930102,宜蘭縣大同鄉泰雅路5段68號,,,,,土石流影響範圍、地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 154.7, ""intersects"": false}, {""group"": ""土石流影響範圍"", ""source_id"": ""176526"", ""distance_m"": 0.0, ""intersects"": true}]",2,0,複合災害暴露（優先查核）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.451493,24.531868999999997
NLSC-MED-G0000000142,宜蘭縣蘇澳鎮衛生所,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000000142,2026-09-25,宜蘭縣,9930102,宜蘭縣蘇澳鎮志成路60號,,,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 282.1, ""intersects"": false}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.84166299999998,24.594049999999996
NLSC-MED-G0000000197,宜蘭縣大同鄉樂水村衛生室,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000000197,2026-09-25,宜蘭縣,9930102,宜蘭縣大同鄉碼崙路51號,,,,,土石流影響範圍、近5年歷史淹水災點,"[{""group"": ""近5年歷史淹水災點"", ""source_id"": ""130016"", ""distance_m"": 40.1, ""match_count"": 1}, {""group"": ""土石流影響範圍"", ""source_id"": ""176526"", ""distance_m"": 127.5, ""intersects"": false}]",2,1,複合災害暴露（優先查核）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.530057,24.599564
NLSC-MED-G0000000391,宜蘭縣三星鄉衛生所,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000000391,2026-09-25,宜蘭縣,9930102,宜蘭縣三星鄉三星路五段70號,,,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.65157499999998,24.666137
NLSC-MED-G0000000477,天主教靈醫會醫療財團法人羅東聖母醫院,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000000477,2026-09-25,宜蘭縣,9930101,宜蘭縣羅東鎮中正南路160號,,,,,近5年歷史淹水災點,"[{""group"": ""近5年歷史淹水災點"", ""source_id"": ""130016"", ""distance_m"": 224.1, ""match_count"": 1}]",1,1,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.77150100000001,24.671818
NLSC-MED-G0000000553,宜蘭縣大同鄉衛生所,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000000553,2026-09-25,宜蘭縣,9930102,宜蘭縣大同鄉朝陽路40號,,,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 71.4, ""intersects"": false}, {""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 279.0, ""intersects"": false}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.60882200000002,24.677851000000004
NLSC-MED-G0000000565,宜蘭縣羅東鎮衛生所,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000000565,2026-09-25,宜蘭縣,9930102,宜蘭縣羅東鎮民生路79號,,,,,近5年歷史淹水災點,"[{""group"": ""近5年歷史淹水災點"", ""source_id"": ""130016"", ""distance_m"": 214.8, ""match_count"": 2}]",1,2,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.76695600000001,24.677528000000002
NLSC-MED-G0000000934,國立陽明交通大學附設醫院蘭陽院區,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000000934,2026-09-25,宜蘭縣,9930101,宜蘭縣宜蘭市校舍路169號,,,,,近5年歷史淹水災點,"[{""group"": ""近5年歷史淹水災點"", ""source_id"": ""130016"", ""distance_m"": 247.3, ""match_count"": 1}]",1,1,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.75863800000002,24.748976000000003
NLSC-MED-G0000002636,醫療財團法人羅許基金會羅東博愛醫院,醫療機構,內政部國土測繪中心醫療設施 API（官方）,G0000002636,2026-09-25,宜蘭縣,9930101,宜蘭縣羅東鎮站前南路61、63號,,,,,近5年歷史淹水災點,"[{""group"": ""近5年歷史淹水災點"", ""source_id"": ""130016"", ""distance_m"": 224.8, ""match_count"": 1}]",1,1,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.773019,24.671577999999993
