facility_id,facility_name,facility_type,facility_source,source_record_id,source_date,admin_area,medical_marktype,address,agency,hotspot_name,osm_amenity,osm_office,matched_hazard_groups,matched_hazard_details,hazard_group_count,flood_point_count_300m,screening_priority,analysis_predicate,analysis_role,longitude,latitude
NLSC-121-10,宜蘭縣大同鄉大同國民小學松羅分校,學校,內政部國土測繪中心（官方衍生快取）,10,202206,宜蘭縣,,,,,,,土石流影響範圍、地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}, {""group"": ""土石流影響範圍"", ""source_id"": ""176526"", ""distance_m"": 44.6, ""intersects"": false}]",2,0,複合災害暴露（優先查核）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.57853271249375,24.65598150700032
NLSC-121-117,耕莘健康管理專科學校宜蘭校區,學校,內政部國土測繪中心（官方衍生快取）,117,202201,宜蘭縣,,,,,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.68519836945542,24.697550169030112
NLSC-121-132,聖母醫護管理專科學校,學校,內政部國土測繪中心（官方衍生快取）,132,202206,宜蘭縣,,,,,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.70227406058794,24.66474175933038
NLSC-121-16,宜蘭縣大同鄉寒溪國民小學,學校,內政部國土測繪中心（官方衍生快取）,16,201901,宜蘭縣,,,,,,,土石流影響範圍、地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}, {""group"": ""土石流影響範圍"", ""source_id"": ""176526"", ""distance_m"": 216.8, ""intersects"": false}]",2,0,複合災害暴露（優先查核）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.6874798540977,24.60945974702583
NLSC-121-22,宜蘭縣冬山鄉大進國民小學,學校,內政部國土測繪中心（官方衍生快取）,22,202206,宜蘭縣,,,,,,,地質敏感區、近5年歷史淹水災點,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}, {""group"": ""近5年歷史淹水災點"", ""source_id"": ""130016"", ""distance_m"": 189.5, ""match_count"": 1}]",2,1,複合災害暴露（優先查核）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.7160689168856,24.634051902324654
NLSC-121-3,宜蘭縣三星鄉三星國民小學,學校,內政部國土測繪中心（官方衍生快取）,3,202206,宜蘭縣,,,,,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.6505638304019,24.666767153317856
NLSC-121-32,宜蘭縣立三星國民中學,學校,內政部國土測繪中心（官方衍生快取）,32,202206,宜蘭縣,,,,,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.65370549762024,24.668073499182864
NLSC-121-5,宜蘭縣三星鄉大隱國民小學,學校,內政部國土測繪中心（官方衍生快取）,5,202206,宜蘭縣,,,,,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.71300299587374,24.667232151593378
NLSC-121-6,宜蘭縣三星鄉萬富國民小學,學校,內政部國土測繪中心（官方衍生快取）,6,202406,宜蘭縣,,,,,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.6882587837758,24.679499994730968
NLSC-121-7,宜蘭縣三星鄉憲明國民小學,學校,內政部國土測繪中心（官方衍生快取）,7,201901,宜蘭縣,,,,,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}, {""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 182.5, ""intersects"": false}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.61859343459794,24.660826190286606
NLSC-121-8,宜蘭縣三星鄉憲明國民小學1,學校,內政部國土測繪中心（官方衍生快取）,8,201711,宜蘭縣,,,,,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}, {""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 99.3, ""intersects"": false}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.61929054654324,24.660376261682465
