rank,town,village,village_id,data_period,elderly_econ_est,vulnerable_elderly_est,vulnerable_rate_pct,elderly_transit_est,bus_gap_elderly_est,bus_gap_rate_pct,joint_pressure_raw,priority_score,priority_band,data_quality,economic_suppressed_cells,vulnerable_suppressed_cells,transit_suppressed_cells,bus_gap_suppressed_cells
1,大同鄉,英士村,10002110-005,113Y,55.0,4.0,7.2727,57.0,18.0,31.5789,0.1515,90.5727,A 極高優先,較高,0,0,0,0
2,三星鄉,尚武村,10002100-016,113Y,193.0,3.0,1.5544,190.0,179.0,94.2105,0.121,72.9882,A 極高優先,較高,0,0,0,0
3,三星鄉,天山村,10002100-002,113Y,143.0,7.0,4.8951,143.0,30.0,20.979,0.1013,67.1556,A 極高優先,較高,0,0,0,0
4,冬山鄉,武淵村,10002080-001,113Y,274.0,3.0,1.0949,274.0,254.0,92.7007,0.1007,62.2894,A 極高優先,較高,0,0,0,0
5,員山鄉,中華村,10002070-008,113Y,188.0,10.0,5.3191,195.0,28.0,14.359,0.0874,61.8866,A 極高優先,較高,0,0,0,0
6,南澳鄉,澳花村,10002120-007,113Y,108.0,12.0,11.1111,108.0,7.0,6.4815,0.0849,61.6476,A 極高優先,較高,0,0,0,0
7,大同鄉,寒溪村,10002110-001,113Y,164.0,8.0,4.878,170.0,21.0,12.3529,0.0776,55.412,A 極高優先,較高,0,0,0,0
8,三星鄉,行健村,10002100-011,113Y,204.0,3.0,1.4706,204.0,103.0,50.4902,0.0862,54.5943,A 極高優先,較高,0,0,0,0
9,南澳鄉,東岳村,10002120-003,113Y,86.0,9.0,10.4651,87.0,4.0,4.5977,0.0694,51.7433,A 極高優先,較高,0,0,0,0
10,蘇澳鎮,永春里,10002030-016,113Y,148.0,4.0,2.7027,149.0,31.0,20.8054,0.075,50.1576,A 極高優先,較高,0,0,0,0
11,三星鄉,拱照村,10002100-009,113Y,291.0,4.0,1.3746,293.0,119.0,40.6143,0.0747,50.0153,A 極高優先,較高,0,0,0,0
12,冬山鄉,太和村,10002080-011,113Y,357.0,3.0,0.8403,360.0,248.0,68.8889,0.0761,49.2714,A 極高優先,較高,0,0,0,0
13,冬山鄉,大進村,10002080-024,113Y,223.0,3.0,1.3453,226.0,96.0,42.4779,0.0756,49.0122,A 極高優先,較高,0,0,0,0
14,礁溪鄉,德陽村,10002050-003,113Y,978.0,20.0,2.045,978.0,125.0,12.7812,0.0511,46.9882,A 極高優先,較高,0,0,0,0
15,三星鄉,大隱村,10002100-010,113Y,883.0,8.0,0.906,889.0,342.0,38.4702,0.059,45.5991,A 極高優先,較高,0,0,0,0
16,礁溪鄉,匏崙村,10002050-017,113Y,223.0,5.0,2.2422,226.0,39.0,17.2566,0.0622,44.6066,A 極高優先,較高,0,0,0,0
17,壯圍鄉,功勞村,10002060-010,113Y,274.0,4.0,1.4599,274.0,78.0,28.4672,0.0645,44.6033,A 極高優先,較高,0,0,0,0
18,羅東鎮,北成里,10002020-018,113Y,571.0,12.0,2.1016,570.0,73.0,12.807,0.0519,44.2363,A 極高優先,較高,0,0,0,0
19,頭城鎮,更新里,10002040-005,113Y,305.0,5.0,1.6393,307.0,67.0,21.8241,0.0598,43.3456,A 極高優先,較高,0,0,0,0
20,壯圍鄉,新南村,10002060-003,113Y,208.0,3.0,1.4423,208.0,60.0,28.8462,0.0645,43.1567,A 極高優先,較高,0,0,0,0
21,三星鄉,大義村,10002100-015,113Y,317.0,9.0,2.8391,318.0,31.0,9.7484,0.0526,42.8977,A 極高優先,較高,0,0,0,0
22,礁溪鄉,林美村,10002050-011,113Y,245.0,3.0,1.2245,247.0,81.0,32.7935,0.0634,42.5582,A 極高優先,較高,0,0,0,0
23,員山鄉,內城村,10002070-007,113Y,313.0,7.0,2.2364,316.0,39.0,12.3418,0.0525,41.3939,A 極高優先,較高,0,0,0,0
24,宜蘭市,新生里,10002010-024,113Y,617.0,17.0,2.7553,617.0,38.0,6.1588,0.0412,40.7331,A 極高優先,較高,0,0,0,0
25,冬山鄉,清溝村,10002080-018,113Y,834.0,4.0,0.4796,837.0,535.0,63.9188,0.0554,39.801,B 高優先,較高,0,0,0,0
26,礁溪鄉,三民村,10002050-010,113Y,601.0,4.0,0.6656,600.0,236.0,39.3333,0.0512,37.5821,B 高優先,較高,0,0,0,0
27,冬山鄉,順安村,10002080-015,113Y,1130.0,4.0,0.354,1140.0,832.0,72.9825,0.0508,37.404,B 高優先,較高,0,0,0,0
28,羅東鎮,竹林里,10002020-023,113Y,730.0,6.0,0.8219,730.0,159.0,21.7808,0.0423,35.1184,B 高優先,較高,0,0,0,0
29,員山鄉,湖西村,10002070-016,113Y,352.0,3.0,0.8523,352.0,97.0,27.5568,0.0485,34.6895,B 高優先,較高,0,0,0,0
30,冬山鄉,永美村,10002080-016,113Y,653.0,4.0,0.6126,653.0,197.0,30.1685,0.043,33.2657,B 高優先,較高,0,0,0,0
31,三星鄉,集慶村,10002100-007,113Y,322.0,8.0,2.4845,320.0,15.0,4.6875,0.0341,32.4488,B 高優先,較高,0,0,0,0
32,羅東鎮,羅莊里,10002020-007,113Y,576.0,6.0,1.0417,578.0,71.0,12.2837,0.0358,31.6661,B 高優先,較高,0,0,0,0
33,員山鄉,蓁巷村,10002070-006,113Y,288.0,3.0,1.0417,286.0,46.0,16.0839,0.0409,30.7142,B 高優先,較高,0,0,0,0
34,礁溪鄉,白雲村,10002050-001,113Y,348.0,3.0,0.8621,354.0,63.0,17.7966,0.0392,29.7836,B 高優先,較高,0,0,0,0
35,三星鄉,雙賢村,10002100-004,113Y,170.0,3.0,1.7647,173.0,14.0,8.0925,0.0378,29.0557,B 高優先,較高,0,0,0,0
36,三星鄉,義德村,10002100-006,113Y,299.0,6.0,2.0067,300.0,12.0,4.0,0.0283,27.7389,B 高優先,較高,0,0,0,0
37,羅東鎮,南昌里,10002020-008,113Y,565.0,13.0,2.3009,566.0,9.0,1.5901,0.0191,27.4337,B 高優先,較高,0,0,0,0
38,壯圍鄉,吉祥村,10002060-001,113Y,536.0,7.0,1.306,533.0,25.0,4.6904,0.0247,26.7254,B 高優先,較高,0,0,0,0
39,羅東鎮,仁愛里,10002020-024,113Y,726.0,3.0,0.4132,727.0,191.0,26.2724,0.0329,26.5002,B 高優先,較高,0,0,0,0
40,羅東鎮,東安里,10002020-005,113Y,661.0,5.0,0.7564,662.0,59.0,8.9124,0.026,25.4768,B 高優先,較高,0,0,0,0
41,五結鄉,三興村,10002090-001,113Y,471.0,6.0,1.2739,474.0,20.0,4.2194,0.0232,25.0217,B 高優先,較高,0,0,0,0
42,員山鄉,逸仙村,10002070-014,113Y,214.0,3.0,1.4019,217.0,13.0,5.9908,0.029,24.4049,B 高優先,較高,0,0,0,0
43,蘇澳鎮,朝陽里,10002030-026,113Y,201.0,3.0,1.4925,198.0,10.0,5.0505,0.0275,23.6003,B 高優先,較高,0,0,0,0
44,蘇澳鎮,南建里,10002030-023,113Y,312.0,5.0,1.6026,314.0,8.0,2.5478,0.0202,22.4371,B 高優先,較高,0,0,0,0
45,員山鄉,枕山村,10002070-011,113Y,569.0,5.0,0.8787,571.0,18.0,3.1524,0.0166,20.5563,B 高優先,較高,0,0,0,0
46,五結鄉,大吉村,10002090-009,113Y,671.0,5.0,0.7452,669.0,24.0,3.5874,0.0163,20.4013,B 高優先,較高,0,0,0,0
47,礁溪鄉,龍潭村,10002050-016,113Y,680.0,3.0,0.4412,686.0,71.0,10.3499,0.0214,20.387,B 高優先,較高,0,0,0,0
48,蘇澳鎮,聖愛里,10002030-027,113Y,670.0,8.0,1.194,674.0,7.0,1.0386,0.0111,20.3125,B 高優先,較高,0,0,0,0
49,五結鄉,五結村,10002090-008,113Y,779.0,6.0,0.7702,781.0,19.0,2.4328,0.0137,20.0091,B 高優先,較高,0,0,0,0
50,冬山鄉,群英村,10002080-017,113Y,1212.0,4.0,0.33,1214.0,116.0,9.5552,0.0178,19.947,B 高優先,較高,0,0,0,0
51,員山鄉,永和村,10002070-009,113Y,377.0,4.0,1.061,378.0,11.0,2.9101,0.0176,19.8485,B 高優先,較高,0,0,0,0
