schoolKey,schoolId,schoolName,sourceZone,schoolDataMonth,sensitiveAreaIds,sensitiveAreaTypes,sensitiveAreaNames,sensitiveAreaCount,longitude,latitude,analysisPredicate,analysisRole
NLSC-121-8,8,世新大學,121,202310,L0001,山崩與地滑地質敏感區,臺北市,1,121.5478594,24.9894763,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-5,5,中國科技大學臺北校區,121,202509,L0001,山崩與地滑地質敏感區,臺北市,1,121.5548215,24.9981471,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2238,2238,中國醫藥大學,121,202508,G0005,地下水補注地質敏感區,臺中盆地,1,120.6601632,24.1806652,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-599,599,中國醫藥大學,121,202601,G0005,地下水補注地質敏感區,臺中盆地,1,120.6798714,24.1562506,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2203,2203,中國醫藥大學1,121,202508,G0005,地下水補注地質敏感區,臺中盆地,1,120.6593602,24.1791311,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-589,589,中國醫藥大學1,121,202601,G0005,地下水補注地質敏感區,臺中盆地,1,120.6807407,24.1554345,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-408,408,中山醫學大學,121,202512,G0005,地下水補注地質敏感區,臺中盆地,1,120.6509168,24.1225546,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-395,395,中山醫學大學大慶校區,121,202601,G0005,地下水補注地質敏感區,臺中盆地,1,120.6513953,24.1183820,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-739,739,中臺科技大學,121,202601,F0001、G0005,地下水補注地質敏感區、活動斷層地質敏感區,臺中盆地、車籠埔斷層,2,120.7357798,24.1727903,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1,1,中華大學,121,202308,L0012,山崩與地滑地質敏感區,新竹縣市,1,120.9530758,24.7598113,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-7,7,中華科技大學臺北校區,121,202310,L0001,山崩與地滑地質敏感區,臺北市,1,121.6101372,25.0323295,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1048,1048,亞洲大學,121,202201,G0005,地下水補注地質敏感區,臺中盆地,1,120.6858675,24.0465029,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1049,1049,亞洲大學1,121,201308,G0005,地下水補注地質敏感區,臺中盆地,1,120.6882673,24.0481660,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1,1,佛光大學,121,202407,L0016,山崩與地滑地質敏感區,宜蘭縣,1,121.7261122,24.8157805,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2332,2332,僑光科技大學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6438205,24.1889310,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1541,1541,光華學校財團法人臺中市光華高級工業職業學校,121,202201,F0001、L0003,山崩與地滑地質敏感區、活動斷層地質敏感區,臺中市、車籠埔斷層,2,120.7376784,24.1383993,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-11,11,南投縣仁愛鄉力行國民小學翠巒分校,121,201901,L0002,山崩與地滑地質敏感區,南投縣-02,1,121.2002046,24.1798404,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-18,18,南投縣仁愛鄉南豐國民小學,121,202410,L0002,山崩與地滑地質敏感區,南投縣-02,1,121.0786293,24.0001109,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-28,28,南投縣仁愛鄉廬山國民小學,121,202410,L0002,山崩與地滑地質敏感區,南投縣-02,1,121.1864815,24.0349926,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-21,21,南投縣仁愛鄉清境國民小學,121,202410,L0002,山崩與地滑地質敏感區,南投縣-01,1,121.1585845,24.0445767,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-122,122,南投縣南投市僑建國民小學,121,202209,G0005,地下水補注地質敏感區,臺中盆地,1,120.6678034,23.9406546,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-114,114,南投縣南投市光復國民小學,121,202209,G0005,地下水補注地質敏感區,臺中盆地,1,120.7022287,23.9419351,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-116,116,南投縣南投市光榮國民小學,121,201901,G0005,地下水補注地質敏感區,臺中盆地,1,120.6972561,23.9462402,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-115,115,南投縣南投市光華國民小學,121,201901,G0005,地下水補注地質敏感區,臺中盆地,1,120.6910314,23.9530898,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-111,111,南投縣南投市千秋國民小學,121,201901,F0001,活動斷層地質敏感區,車籠埔斷層,1,120.7132706,23.8915709,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-119,119,南投縣南投市南投國民中學1,121,201712,G0005,地下水補注地質敏感區,臺中盆地,1,120.6746812,23.9131897,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-118,118,南投縣南投市南投國民小學,121,202209,G0005,地下水補注地質敏感區,臺中盆地,1,120.6843714,23.9059648,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-123,123,南投縣南投市嘉和國民小學,121,202209,G0005,地下水補注地質敏感區,臺中盆地,1,120.6844370,23.8966549,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
