道路名稱,道路編號,道路類型,OSM_way_id,分析路段長度_m,最近淹水點距離_m,100m內淹水點數,淹水年份,淹水年份數,最近淹水資料年份,最近淹水FID,淹水資料來源,最近雨水下水道距離_m,DEM高程_m,局部高程百分位_pct,周邊500m高程中位數_m,相對低窪深度_m,低窪判定,風險分數,風險等級,分析條件
OSM道路 145583301,,residential,145583301,106.0,12.2,1,2024,1,2024,7232,淹水感測,0.0,5.06,0.0,13.31,8.25,局部高程百分位≤20%,80.0,高,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
維揚路26巷,,unclassified,196824636,208.3,18.3,1,2024,1,2024,6752,EMIC,0.0,11.11,0.0,16.08,4.97,局部高程百分位≤20%,80.0,高,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
蘇港路,2,primary,395300469,143.7,70.7,1,2024,1,2024,7232,淹水感測,0.0,6.38,0.0,13.3,6.92,局部高程百分位≤20%,80.0,高,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
新興巷,,residential,145583266,92.8,8.5,1,2024,1,2024,7232,淹水感測,2.5,6.0,0.0,12.04,6.04,局部高程百分位≤20%,77.5,高,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
純精路一段,9,primary,50921135,113.5,82.3,1,2024,1,2024,6752,EMIC,0.0,12.09,4.2,15.07,2.98,局部高程百分位≤20%,73.8,高,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
蘇南路,,residential,145583299,160.7,59.5,1,2024,1,2024,7232,淹水感測,0.0,7.0,4.2,13.16,6.16,局部高程百分位≤20%,73.8,高,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
OSM道路 145583270,,residential,145583270,20.3,1.9,1,2024,1,2024,7232,淹水感測,9.1,5.0,0.0,13.74,8.74,高程≤5m,70.9,高,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
蘇港路,2,primary,395300468,111.6,83.4,1,2024,1,2024,7232,淹水感測,4.3,7.76,4.2,13.12,5.35,局部高程百分位≤20%,69.4,中,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
純精路一段,9,primary,50921136,90.6,88.9,1,2024,1,2024,6752,EMIC,5.4,11.88,4.2,15.05,3.17,局部高程百分位≤20%,68.3,中,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
冬山路三段,9,primary,50921098,55.7,16.4,1,2022,1,2022,2014,新聞媒體,0.0,6.07,8.3,8.56,2.5,局部高程百分位≤20%,67.5,中,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
OSM道路 404337298,,unclassified,404337298,77.6,24.9,1,2024,1,2024,6726,新聞媒體,0.0,7.34,12.5,11.43,4.09,局部高程百分位≤20%,61.2,中,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
冬山路三段,9,primary,246666482,82.0,3.3,1,2022,1,2022,2014,新聞媒體,0.0,6.11,12.5,8.99,2.88,局部高程百分位≤20%,61.2,中,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
純精路一段,9,primary,50921134,135.2,72.5,1,2024,1,2024,6752,EMIC,0.0,12.48,12.5,15.11,2.62,局部高程百分位≤20%,61.2,中,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
林森路,,residential,196820285,160.7,62.2,1,2024,1,2024,5783,EMIC,0.0,10.94,18.8,13.84,2.9,局部高程百分位≤20%,60.0,中,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
站前北路,,unclassified,85646247,53.7,55.7,1,2024,1,2024,6726,新聞媒體,0.0,7.45,16.7,11.97,4.53,局部高程百分位≤20%,60.0,中,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
開蘭橋,宜3-2,tertiary,194075777,197.7,12.5,1,2022,1,2022,2215,EMIC,0.0,7.36,16.7,11.38,4.02,局部高程百分位≤20%,60.0,中,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
維揚路,,residential,1312744977,112.5,84.2,1,2024,1,2024,6752,EMIC,9.4,11.09,8.3,15.84,4.75,局部高程百分位≤20%,58.1,中,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
OSM道路 1111915800,,unclassified,1111915800,57.1,18.3,1,2022,1,2022,2215,EMIC,4.6,7.33,16.7,11.52,4.19,局部高程百分位≤20%,55.4,中,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
OSM道路 536613646,,unclassified,536613646,11.5,88.6,1,2022,1,2022,2215,EMIC,19.7,5.62,8.3,11.33,5.71,局部高程百分位≤20%,47.8,注意,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
純精路一段,9,primary,1312567058,44.3,97.4,1,2024,1,2024,6752,EMIC,25.7,11.81,8.3,15.06,3.25,局部高程百分位≤20%,41.8,注意,淹水點≤100m；雨水下水道≤30m；局部高程百分位≤20%或高程≤5m
